Test name,Genotype,Maturity Date,Height (inches),Lodging,Oil (% dry basis),Protein (% dry basis),Yield (bu/ac),Seed Weight (grams),Seed Quality,Protein + Oil (% dry basis),Protein Meal
Jay Test 1,Dilday,32.11,32.91,2.4,22.33,41.22,46.78,16.46,1.91,63.55,48.37
Jay Test 1,Dunphy,31.67,30.27,1.85,21.52,41.71,47.33,15.71,1.59,63.23,48.52
Jay Test 1,LMN09-119,30.78,38.09,2.55,18.01,51.37,39.36,17.25,1.95,69.38,57.6
Jay Test 1,N09-09,33.11,37.73,2.35,19.77,46.31,41.61,15.33,1.5,66.08,52.88
Jay Test 1,N18-1572,30.33,37.09,2.6,21.19,45.08,38.58,16.47,1.86,66.27,52.26
Jay Test 1,N18-1595,30.78,34.73,3.05,19.52,47.36,43.52,15.6,1.64,66.87,53.93
Jay Test 1,N18-1604,31.33,35.91,3.35,21.34,43.83,43.15,15.81,1.68,65.16,50.89
Jay Test 1,N18-1620,31.67,34.82,2.25,21.4,43.63,46.54,15.33,1.91,65.03,50.69
Jay Test 1,N18-1632-1,31.78,36.18,2.15,20.76,46.64,45.73,15.51,1.77,67.4,53.83
Jay Test 1,N18-1632-2,31.89,34.91,2.2,20.8,46.67,46.34,15.53,2.05,67.47,53.88
Jay Test 1,N18-1635,29.87,37.09,2.85,21.72,43.61,46.45,15.14,1.64,65.32,50.83
Jay Test 1,N18-1641,33.11,34.91,3.15,21.36,43.33,41.99,15.18,1.77,64.69,50.32
Jay Test 1,N18-1674,31.78,36.09,2.9,21.21,45.19,44.26,15.32,1.91,66.4,52.4
Jay Test 1,N18-1682,31.56,36,2.5,20.76,45.11,43.64,15.23,1.86,65.87,52.06
Jay Test 1,N18-1731,31.56,39.27,2.6,20.49,46.1,43.16,17.43,2.14,66.59,53.04
Jay Test 1,N18-1751,31.33,32.55,2.6,20.44,44.8,41.59,15.89,2.05,65.25,51.52
Jay Test 1,N18-1763,31.78,36.18,2.7,19.58,47.82,39.45,15.02,1.77,67.4,54.5
Jay Test 1,N18-1855,32.78,36.55,2.35,20.6,47.52,43.17,17.36,2,68.13,54.75
Jay Test 1,N18-1956,31.5,40.73,3.05,21.51,44.55,34.79,15.63,1.95,66.06,51.81
Jay Test 1,NC-Raleigh,27.17,38.55,3.2,23.5,39.91,41.04,12.21,1.68,63.4,47.43
Jay Test 2,Dunphy,33.33,32,1.83,22.2,40.8,46.66,16.29,1.91,63,47.8
Jay Test 2,N09-09,32.89,37.46,2.37,20.16,45.81,45.19,16.12,1.68,65.97,52.52
Jay Test 2,Ellis,30.3,31.54,1.67,21.64,41.84,38.08,13.62,1.91,63.48,48.73
Jay Test 2,N10-687,33.22,35.62,1.54,20.66,43.26,46.89,12.42,1.36,63.92,49.87
Jay Test 2,N18-1575,33.13,34.54,2.37,20.37,48.67,42.49,17.33,1.82,69.04,55.93
Jay Test 2,N18-1577,32.33,35.62,2.79,19.38,48.96,44.65,15.4,1.82,68.34,55.68
Jay Test 2,N18-1579,30.89,36,2.58,21.73,43.41,46.99,14.94,1.64,65.15,50.61
Jay Test 2,N18-1586,31.78,33.31,2.58,20.88,45.8,47.1,13.84,1.55,66.68,52.91
Jay Test 2,N18-1615,31.89,35.46,2.29,21.76,43.49,49.63,15.94,1.68,65.25,50.72
Jay Test 2,N18-1627,30.89,35.08,2.08,20.62,45.9,46.01,17.23,1.91,66.52,52.88
Jay Test 2,N18-1628,34.56,37,2.96,19.45,49.46,37.04,14.36,2.27,68.91,56.3
Jay Test 2,N18-1643,33.11,34.58,2.17,21.45,44.35,40.54,15.32,1.85,65.8,51.55
Jay Test 2,N18-1659,31.56,35.77,2.62,20.04,47.92,42.1,13.83,1.86,67.97,54.88
Jay Test 2,N18-1661,31.44,38.38,3.04,21.61,43.58,46.33,14.14,1.82,65.19,50.75
Jay Test 2,N18-1761,30.11,33,1.88,19.38,49.1,45.74,15.94,1.77,68.48,55.84
Jay Test 2,N18-1769,30.22,31.54,2.04,19.36,48.58,37.88,16.15,2.09,67.95,55.24
Jay Test 2,N18-1783,31.33,36.15,2.38,20.63,46.74,37.63,15.29,1.91,67.38,53.87
Jay Test 2,N18-1796,31.67,36.54,2.71,20.12,47.71,47.54,13.71,1.5,67.83,54.68
Jay Test 2,N18-1820,32.11,33.85,2.75,21.64,43.4,42.47,16.23,1.91,65.05,50.55
Jay Test 2,Osage,28.8,31.42,1.79,20.98,45.18,42.15,14.42,1.9,66.16,52.27
