Test Name,pheno,contrast,estimate,SE,df,t.ratio,p.value
Jay Test 1,Maturity Date,LMN09-119 - Checks,-2.8809329332538054,0.797448856193935,54.856780267309624,-3.6126867709158503,0.011129738616466711
Jay Test 1,Maturity Date,N09-09 - Checks,-0.5081189327634974,0.797448856193935,54.856780267309624,-0.6371805900990919,0.9999969940525896
Jay Test 1,Maturity Date,N18-1572 - Checks,-3.292476821734108,0.797448856193935,54.85678026730924,-4.128762360320442,0.0021264555556526066
Jay Test 1,Maturity Date,N18-1595 - Checks,-2.880932933253806,0.7974488561939351,54.85678026730924,-3.6126867709158503,0.011129738616466711
Jay Test 1,Maturity Date,N18-1604 - Checks,-2.2924768217341036,0.7974488561939351,54.85678026730943,-2.8747634458661584,0.09328547961417644
Jay Test 1,Maturity Date,N18-1620 - Checks,-1.9788838219792615,0.797448856193935,54.85678026730924,-2.481518164593126,0.24212154884031856
Jay Test 1,Maturity Date,N18-1632-1 - Checks,-1.9401539339892677,0.797448856193935,54.85678026730924,-2.4329509270967384,0.26901911853750105
Jay Test 1,Maturity Date,N18-1632-2 - Checks,-1.763241710949869,0.7974488561939351,54.85678026731,-2.211103191451639,0.416740819174661
Jay Test 1,Maturity Date,N18-1635 - Checks,-1.2689829286261456,0.8149544648168601,60.65607360948395,-1.557121266783067,0.8959753127748638
Jay Test 1,Maturity Date,N18-1641 - Checks,-0.6265609342344205,0.7974488561939352,54.85678026730943,-0.7857067313694213,0.9999398364244664
Jay Test 1,Maturity Date,N18-1674 - Checks,-1.861192599675319,0.7974488561939352,54.85678026730943,-2.3339334995831846,0.33009574380166173
Jay Test 1,Maturity Date,N18-1682 - Checks,-2.096575044283193,0.7974488561939352,54.856780267309816,-2.629102829603053,0.1726230261178764
Jay Test 1,Maturity Date,N18-1731 - Checks,-2.1952767121756347,0.7974488561939352,54.856780267309816,-2.7528746139950013,0.12754207030462605
Jay Test 1,Maturity Date,N18-1751 - Checks,-2.3122171553125965,0.7974488561939352,54.85678026730905,-2.8995178027445534,0.08740163415818847
Jay Test 1,Maturity Date,N18-1763 - Checks,-1.9204136004107748,0.7974488561939351,54.85678026731,-2.4081965702183425,0.28350884709289415
Jay Test 1,Maturity Date,N18-1855 - Checks,-0.9006732668322891,0.797448856193935,54.85678026730905,-1.1294432988856786,0.9944960105701622
